RMSE,Method,Phantom,Seed,Nt,Dd,bins
0.15290288924354564,L2x₀DₓB,Single Channel,9000,500,30,30
0.1297476479569669,L0B,Single Channel,10000,500,30,30
0.13072198906060623,L1B,Single Channel,10000,500,30,30
0.13132838675146558,L2B,Single Channel,10000,500,30,30
0.008467477493466182,L0DₓB,Single Channel,10000,500,30,30
0.11328915414607221,L1DₓB,Single Channel,10000,500,30,30
0.12640052002220975,L2DₓB,Single Channel,10000,500,30,30
0.13789301026659662,L0x₀B,Single Channel,10000,500,30,30
0.1530215500170955,L1x₀B,Single Channel,10000,500,30,30
0.1530212964578933,L2x₀B,Single Channel,10000,500,30,30
0.137895173653261,L0x₀DₓB,Single Channel,10000,500,30,30
0.10506737922254396,L1x₀DₓB,Single Channel,10000,500,30,30
0.15124751282546234,L2x₀DₓB,Single Channel,10000,500,30,30
0.2797944904132037,L0B,Single Channel,1000,500,30,40
0.2957478432804695,L1B,Single Channel,1000,500,30,40
0.30863563598463617,L2B,Single Channel,1000,500,30,40
0.2129535383234759,L0DₓB,Single Channel,1000,500,30,40
0.16298738509174165,L1DₓB,Single Channel,1000,500,30,40
0.19696409811370402,L2DₓB,Single Channel,1000,500,30,40
0.27821883272746734,L0x₀B,Single Channel,1000,500,30,40
0.14039436558857432,L1x₀B,Single Channel,1000,500,30,40
0.14039280429802378,L2x₀B,Single Channel,1000,500,30,40
0.21161171109257504,L0x₀DₓB,Single Channel,1000,500,30,40
0.11361274146557927,L1x₀DₓB,Single Channel,1000,500,30,40
0.12654079112906272,L2x₀DₓB,Single Channel,1000,500,30,40
0.13822964085810552,L0B,Single Channel,2000,500,30,40
0.13807481764690654,L1B,Single Channel,2000,500,30,40
0.13815234704207502,L2B,Single Channel,2000,500,30,40
0.19309787644376888,L0DₓB,Single Channel,2000,500,30,40
0.16476781431173954,L1DₓB,Single Channel,2000,500,30,40
0.15039035052993396,L2DₓB,Single Channel,2000,500,30,40
0.13539050188437785,L0x₀B,Single Channel,2000,500,30,40
0.13537256608884873,L1x₀B,Single Channel,2000,500,30,40
0.13541383925441547,L2x₀B,Single Channel,2000,500,30,40
0.17547728001445118,L0x₀DₓB,Single Channel,2000,500,30,40
0.15567529672155173,L1x₀DₓB,Single Channel,2000,500,30,40
0.14376600455356026,L2x₀DₓB,Single Channel,2000,500,30,40
0.12940091372599527,L0B,Single Channel,3000,500,30,40
0.13011716535121665,L1B,Single Channel,3000,500,30,40
0.13083184260234726,L2B,Single Channel,3000,500,30,40
0.07835886003044104,L0DₓB,Single Channel,3000,500,30,40
0.13100188038345395,L1DₓB,Single Channel,3000,500,30,40
0.1317942952915004,L2DₓB,Single Channel,3000,500,30,40
0.1321937470617614,L0x₀B,Single Channel,3000,500,30,40
0.13219373141402782,L1x₀B,Single Channel,3000,500,30,40
0.13219416005238363,L2x₀B,Single Channel,3000,500,30,40
0.06485424875448927,L0x₀DₓB,Single Channel,3000,500,30,40
0.13219374424676228,L1x₀DₓB,Single Channel,3000,500,30,40
0.13219439391173005,L2x₀DₓB,Single Channel,3000,500,30,40
0.136879185808447,L0B,Single Channel,4000,500,30,40
0.13877182574631775,L1B,Single Channel,4000,500,30,40
0.13962297733725337,L2B,Single Channel,4000,500,30,40
0.13688102301097163,L0DₓB,Single Channel,4000,500,30,40
0.13877362881443683,L1DₓB,Single Channel,4000,500,30,40
0.13962472315065536,L2DₓB,Single Channel,4000,500,30,40
0.1492285732247835,L0x₀B,Single Channel,4000,500,30,40
0.14922854124263382,L1x₀B,Single Channel,4000,500,30,40
0.14922799493407665,L2x₀B,Single Channel,4000,500,30,40
0.16576221884038744,L0x₀DₓB,Single Channel,4000,500,30,40
0.1493161387401485,L1x₀DₓB,Single Channel,4000,500,30,40
0.14934427612992945,L2x₀DₓB,Single Channel,4000,500,30,40
0.1375348355695496,L0B,Single Channel,5000,500,30,40
0.1372730874653137,L1B,Single Channel,5000,500,30,40
0.13721360840630697,L2B,Single Channel,5000,500,30,40
0.12858735292731965,L0DₓB,Single Channel,5000,500,30,40
0.13761557554495077,L1DₓB,Single Channel,5000,500,30,40
0.13761592549594756,L2DₓB,Single Channel,5000,500,30,40
0.1375057050330356,L0x₀B,Single Channel,5000,500,30,40
0.13726409737410222,L1x₀B,Single Channel,5000,500,30,40
0.13717858742728536,L2x₀B,Single Channel,5000,500,30,40
0.12628779440553084,L0x₀DₓB,Single Channel,5000,500,30,40
0.13771748204396597,L1x₀DₓB,Single Channel,5000,500,30,40
0.13770789850991447,L2x₀DₓB,Single Channel,5000,500,30,40
0.1259562771008052,L0B,Single Channel,6000,500,30,40
0.12659573095921878,L1B,Single Channel,6000,500,30,40
0.12701726227080073,L2B,Single Channel,6000,500,30,40
0.04694222869001593,L0DₓB,Single Channel,6000,500,30,40
0.06412052794435727,L1DₓB,Single Channel,6000,500,30,40
0.07904125395191787,L2DₓB,Single Channel,6000,500,30,40
0.1290559726473848,L0x₀B,Single Channel,6000,500,30,40
0.14035956659374682,L1x₀B,Single Channel,6000,500,30,40
0.14035859589563332,L2x₀B,Single Channel,6000,500,30,40
0.05026018458754695,L0x₀DₓB,Single Channel,6000,500,30,40
0.11774394742356824,L1x₀DₓB,Single Channel,6000,500,30,40
0.12416870923920753,L2x₀DₓB,Single Channel,6000,500,30,40
0.14253593389675845,L0B,Single Channel,7000,500,30,40
0.14201471899769683,L1B,Single Channel,7000,500,30,40
0.14193192589831896,L2B,Single Channel,7000,500,30,40
0.1425377854128434,L0DₓB,Single Channel,7000,500,30,40
0.1420164385611456,L1DₓB,Single Channel,7000,500,30,40
0.14193354475103104,L2DₓB,Single Channel,7000,500,30,40
0.14044998348055504,L0x₀B,Single Channel,7000,500,30,40
0.1421840159907089,L1x₀B,Single Channel,7000,500,30,40
0.1421840365087264,L2x₀B,Single Channel,7000,500,30,40
0.14045173451160103,L0x₀DₓB,Single Channel,7000,500,30,40
0.14208036189605783,L1x₀DₓB,Single Channel,7000,500,30,40
0.14208769409844949,L2x₀DₓB,Single Channel,7000,500,30,40
0.13585827347938864,L0B,Single Channel,8000,500,30,40
0.1384313344037569,L1B,Single Channel,8000,500,30,40
0.1392255420303215,L2B,Single Channel,8000,500,30,40
0.13586059232760153,L0DₓB,Single Channel,8000,500,30,40
0.13843315095982817,L1DₓB,Single Channel,8000,500,30,40
